file_nm,element_id,amount,unit_ref,decimals,contextref
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedinoperatingactivitiessummaryofbusinessresults,1358915000,,-3,CurrentYearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-5733456000,,-3,Prior4YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-1489317000,,-3,Prior3YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-8093741000,,-3,Prior2YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,3642644000,,-3,Prior1YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedininvestingactivitiessummaryofbusinessresults,-2574285000,,-3,CurrentYearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-567514000,,-3,Prior4YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-729163000,,-3,Prior3YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-661253000,,-3,Prior2YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-827305000,,-3,Prior1YearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netcashprovidedbyusedinfinancingactivitiessummaryofbusinessresults,-860726000,,-3,CurrentYearDuration
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,4739853000,,-3,Prior4YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,5135693000,,-3,Prior3YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,4804471000,,-3,Prior2YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,7709590000,,-3,Prior1YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:cashandcashequivalentssummaryofbusinessresults,5633494000,,-3,CurrentYearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:numberofemployees,264,,0,Prior4YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:numberofemployees,259,,0,Prior3YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:numberofemployees,277,,0,Prior2YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:numberofemployees,280,,0,Prior1YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:numberofemployees,285,,0,CurrentYearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,109,,0,Prior4YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,116,,0,Prior3YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,129,,0,Prior2YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,98,,0,Prior1YearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:averagenumberoftemporaryworkers,95,,0,CurrentYearInstant
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,25555260000,,-3,Prior4YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,25753775000,,-3,Prior3YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,28062009000,,-3,Prior2YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,21074968000,,-3,Prior1YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:netsalessummaryofbusinessresults,18413153000,,-3,CurrentYearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,4821767000,,-3,Prior4YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,7217114000,,-3,Prior3YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,7290824000,,-3,Prior2YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,3555940000,,-3,Prior1YearDuration_NonConsolidatedMember
jpcrp030000-asr-001_E00559-000_2016-12-31_02_2017-04-05.xbrl,jpcrp_cor:ordinaryincomelosssummaryofbusinessresults,3118373000,,-3,CurrentYearDuration_NonConsolidatedMember
